Year,Population,Population_Age1+,GrowthRate,ToTFemales,ToTFemales_Age1+,ToTMales,ToTMales_Age1+,BreedFemales,BreedFemales_Age1+,BreedMales,BreedEvents_Females,Females_NoMate,Migrants,DisperseDeaths,Births,Male_Age0Deaths,Female_Age0Deaths,Male_AgeDeaths1+,Female_AgeDeaths1+,Alleles,He,Ho,Mutations,MateDistED,MateDistEDstd,Female_DispDistED,Female_DispDistEDstd,Male_DispDistED,Male_DispDistEDstd,MateDistCD,MateDistCDstd,Female_DispDistCD,Female_DispDistCDstd,Male_DispDistCD,Male_DispDistCDstd,p1,p2,q1,q2,Infected,SubpopImmigration,SubpopEmigration,SubpopNoMate,FemalesMeanMate,MalesMeanMate,FemalesSDMate,MalesSDMate,OpenLocations,CouldNotDisperse,MatureSelectionDeaths,Twins,EpigeneMod_A1,EpigeneMod_A2,EpigeneDeaths,EpigeneResets_A1,EpigeneResets_A2
0,16|4|4|3|5|,16|,0.25,8|2|2|2|2|,8|,8|2|2|1|3|,8|,8|2|2|2|2|,8|,8|2|2|1|3|,16,0,0,0,0,0,0,6|,6|,13|12|12|9|11|,0.61|0.5859|0.5859|0.4167|0.475|,0.5625|0.625|0.75|0.3333333333333333|0.5|,0.0,2.125210544393241,0.7800513713851039,0,0,0,0,0.0,0.0,0,0,0,0,0.15625,0.21875,0.25,0.15625,0,0|0|0|0|,0|0|0|0|,2.2857142857142856,2.6666666666666665,0.880630571852711,0.9428090415820634,12,0,0,0,NA,NA,NA,NA,NA,
1,4|1|0|0|3|,0|,NA,2|1|0|0|1|,0|,2|0|0|0|2|,0|,2|1|0|0|1|,2|,2|0|0|0|2|,4,0,0,0,0,0,0,0|,0|,13|8|0|0|11|,0.55|0.5|0.0|0.0|0.4861|,0.75|1.0|0.0|0.0|0.6666666666666666|,0.0,2.930725239501232,0.4010605572110611,0,0,0,0,0.0,0.0,0,0,0,0,0.125,0.125,0.5,0.125,0,0|0|0|0|,0|0|0|0|,2.0,2.0,1.0,1.0,16,0,0,0,NA,NA,NA,NA,NA,
