Year,Population,Population_Age1+,GrowthRate,ToTFemales,ToTFemales_Age1+,ToTMales,ToTMales_Age1+,BreedFemales,BreedFemales_Age1+,BreedMales,BreedEvents_Females,Females_NoMate,Migrants,DisperseDeaths,Births,Male_Age0Deaths,Female_Age0Deaths,Male_AgeDeaths1+,Female_AgeDeaths1+,Alleles,He,Ho,Mutations,MateDistED,MateDistEDstd,Female_DispDistED,Female_DispDistEDstd,Male_DispDistED,Male_DispDistEDstd,MateDistCD,MateDistCDstd,Female_DispDistCD,Female_DispDistCDstd,Male_DispDistCD,Male_DispDistCDstd,p1,p2,q1,q2,Infected,SubpopImmigration,SubpopEmigration,SubpopNoMate,FemalesMeanMate,MalesMeanMate,FemalesSDMate,MalesSDMate,OpenLocations,CouldNotDisperse,MatureSelectionDeaths,Twins,EpigeneMod_A1,EpigeneMod_A2,EpigeneDeaths,EpigeneResets_A1,EpigeneResets_A2
0,12|3|3|3|3|,12|,1.3333333333333333,7|2|1|2|2|,7|,5|1|2|1|1|,5|,7|2|1|2|2|,7|,5|1|2|1|1|,12,0,14,0,18,0,0,4|,6|,50|36|41|37|39|,0.78|0.6556|0.7167|0.6833|0.6833|,0.8916666666666667|0.8|0.9666666666666667|0.9|0.9|,0,1.841985588725134,0.7237097191523614,1.9668176849944936,0.8698437756246238,2.220759220056127,0.7538093170926617,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.2916666666666667,0,3|3|4|3|,6|4|0|3|,1.7142857142857142,2.4,1.0301575072754254,1.8547236990991407,0,4,0,4,NA,NA,NA,NA,NA,
1,16|4|4|4|4|,14|,1.0,9|2|4|2|1|,8|,7|2|0|2|3|,6|,9|2|4|2|1|,9|,7|2|0|2|3|,16,0,13,0,33,0,0,5|,6|,48|41|37|38|41|,0.71|0.6625|0.6312|0.6438|0.6812|,0.79375|0.85|0.65|0.825|0.85|,0,2.1484704877964633,0.8346104259279473,1.9340092755419942,0.9271505390806458,2.0355868943801054,0.596980732878338,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.03125,0.65625,0.125,0,3|3|2|3|,2|5|2|2|,2.2857142857142856,2.6666666666666665,1.1605769149479943,0.4714045207910317,0,20,0,10,NA,NA,NA,NA,NA,
2,16|4|4|4|4|,13|,1.0,7|2|1|3|1|,5|,9|2|3|1|3|,8|,7|2|1|3|1|,7|,9|2|3|1|3|,16,0,13,0,25,0,0,6|,4|,47|39|37|39|34|,0.73|0.6875|0.6406|0.65|0.6156|,0.775|0.85|0.775|0.675|0.8|,0,2.1280185429949565,0.8118109882661244,2.7882456112707374,0.47506463900133966,1.9024908327636072,0.6168700278425243,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.09375,0.46875,0.15625,0,1|3|2|2|,6|0|2|0|,2.2857142857142856,2.0,1.1605769149479943,0.5,0,12,0,5,NA,NA,NA,NA,NA,
3,16|4|4|4|4|,13|,1.0,5|2|0|1|2|,4|,11|2|4|3|2|,9|,5|2|0|1|2|,5|,11|2|4|3|2|,16,0,13,0,30,0,0,7|,3|,45|37|34|33|34|,0.69|0.625|0.6094|0.625|0.6219|,0.73125|0.75|0.7|0.65|0.825|,0,2.0952912528545493,0.7397665616336091,2.2862709875903087,0.9569859529585474,1.7675918792439982,1.3695323831259598,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.09375,0.5625,0.125,0,2|2|2|2|,5|0|1|2|,4.0,2.0,0.7071067811865476,1.0,0,17,0,8,NA,NA,NA,NA,NA,
4,16|4|4|4|4|,13|,NA,8|3|1|1|3|,7|,8|1|3|3|1|,6|,8|3|1|1|3|,8|,8|1|3|3|1|,16,0,14,0,24,0,0,5|,6|,45|36|35|36|33|,0.68|0.6562|0.6219|0.625|0.6062|,0.69375|0.725|0.675|0.675|0.7|,0,1.9618156514114213,0.8448546323937517,1.95831484749991,0.6713547823436505,2.7536568075962795,0.838503710005478,0.0,0.0,0.0,0.0,0.0,0.0,0.15625,0.125,0.65625,0.03125,0,2|4|3|1|,2|0|0|8|,2.6666666666666665,2.2857142857142856,1.3743685418725535,0.880630571852711,0,10,0,8,NA,NA,NA,NA,NA,
