Year,Population,Population_Age1+,GrowthRate,ToTFemales,ToTFemales_Age1+,ToTMales,ToTMales_Age1+,BreedFemales,BreedFemales_Age1+,BreedMales,BreedEvents_Females,Females_NoMate,Migrants,DisperseDeaths,Births,Male_Age0Deaths,Female_Age0Deaths,Male_AgeDeaths1+,Female_AgeDeaths1+,Alleles,He,Ho,Mutations,MateDistED,MateDistEDstd,Female_DispDistED,Female_DispDistEDstd,Male_DispDistED,Male_DispDistEDstd,MateDistCD,MateDistCDstd,Female_DispDistCD,Female_DispDistCDstd,Male_DispDistCD,Male_DispDistCDstd,p1,p2,q1,q2,Infected,SubpopImmigration,SubpopEmigration,SubpopNoMate,FemalesMeanMate,MalesMeanMate,FemalesSDMate,MalesSDMate,OpenLocations,CouldNotDisperse,MatureSelectionDeaths,Twins,EpigeneMod_A1,EpigeneMod_A2,EpigeneDeaths,EpigeneResets_A1,EpigeneResets_A2
0,16|4|4|3|5|,16|,1.0,8|2|2|2|2|,8|,8|2|2|1|3|,8|,8|2|2|2|2|,8|,8|2|2|1|3|,16,0,12,5,23,0,0,6|,6|,20|20|20|19|20|,0.48|0.4156|0.4438|0.3667|0.456|,0.50625|0.425|0.6|0.4666666666666667|0.52|,0,2.3520570141466774,0.9180565354069512,1.7374682371669115,0.9156128996355188,1.6957417329238151,0.7241960889293294,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,0.625,0.375,0,2|1|1|4|,3|1|3|1|,2.0,2.0,0.8660254037844386,0.7071067811865476,0,6,0,0,NA,NA,NA,NA,NA,
1,16|4|4|3|5|,12|,0.6875,9|2|2|1|4|,7|,7|2|2|2|1|,5|,9|2|2|1|4|,9|,7|2|2|2|1|,16,0,9,5,14,0,0,4|,6|,20|20|20|20|20|,0.47|0.4531|0.4281|0.4111|0.432|,0.55|0.575|0.575|0.5333333333333333|0.52|,0,2.091668184004232,0.8291104920482185,1.5,0.5,2.2032829392311766,0.3815026732446694,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.625,0.78125,0.21875,0,2|2|3|2|,4|1|0|4|,2.2857142857142856,2.6666666666666665,0.6998542122237652,1.4907119849998598,5,0,0,0,NA,NA,NA,NA,NA,
2,11|4|2|3|2|,9|,0.9090909090909091,3|1|1|1|0|,2|,8|3|1|2|2|,7|,3|1|1|1|0|,3|,8|3|1|2|2|,11,0,9,3,12,0,0,6|,2|,20|20|19|20|20|,0.49|0.4531|0.4125|0.4611|0.45|,0.7|0.625|0.75|0.7|0.8|,0,2.374274472083563,0.737996553535652,1.398140956982914,1.358382076003251,2.3139582038342184,0.8034907783592274,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5454545454545454,0.5454545454545454,0.45454545454545453,0,1|1|2|2|,3|1|2|0|,3.6666666666666665,1.8333333333333333,0.9428090415820634,0.6871842709362768,6,0,0,0,NA,NA,NA,NA,NA,
3,10|3|2|2|3|,9|,0.6,5|1|2|0|2|,5|,5|2|0|2|1|,4|,5|1|2|0|2|,5|,5|2|0|2|1|,10,0,4,6,10,0,0,3|,4|,20|20|19|20|20|,0.48|0.45|0.3625|0.4|0.4222|,0.6|0.5666666666666667|0.55|0.6|0.6666666666666666|,0,2.2524811049912743,0.9624598026189404,0.0,0.0,1.8834271799576283,0.34549779227011346,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.5,0.5,0,0|2|1|0|,0|0|0|3|,3.3333333333333335,2.5,1.247219128924647,1.118033988749895,10,0,0,0,NA,NA,NA,NA,NA,
4,6|1|2|2|1|,4|,NA,2|1|0|0|1|,1|,4|0|2|2|0|,3|,2|1|0|0|1|,2|,4|0|2|2|0|,6,0,1,4,5,0,0,2|,1|,20|17|19|18|15|,0.41|0.35|0.375|0.3375|0.25|,0.5833333333333334|0.7|0.6|0.55|0.5|,0,2.7337070918000546,0.6001490394688818,3.605551275463989,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.08333333333333333,0.9166666666666666,0.5,0.5,0,0|0|1|0|,1|0|0|0|,6.0,1.5,0.0,0.5,14,0,0,0,NA,NA,NA,NA,NA,
